都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
広島県,甲奴郡上下町字矢野600,133,4,39,34,42,10,,不明,温泉・鉱泉,,,24.8,24,288,,8.4,,10.45,,,135,,,,,,,20.4,0.75,,,,0.87,6.55,,,,,,,,,,,,,8.05,,,,,,,,,4.86,,,,,36.1,0.97,,,,,,,,,,,,,,,,,,,,1978.5.9.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,山県郡千代田町字南方額田部,132,33,6,34,39,8,,不明,温泉・鉱泉,,,16.8,13.6,43.2,,6.3,,8.85,,,285,,,,,,,30.5,6.12,,,,3.97,19.6,,,,,,,,,,,,,65.3,,,,,,,,,24.6,,,,,44.2,0.003,,,,,,,,,,,,,,,,,,,,1978.5.10.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,山県郡千代田町字南方栗定,132,33,6,34,39,8,,不明,温泉・鉱泉,,,16.8,15.4,14.4,,6.1,,13.26,,,190,,,,,,,10.3,0.59,,,,5.57,17.2,,,,,,,,,,,,,41.6,,,,,,,,,7.16,,,,,79,0.022,,,,,,,,,,,,,,,,,,,,1978.5.10.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,山県郡千代田町字丁保余原,132,33,9,34,39,47,,不明,温泉・鉱泉,,,25.4,14.6,2.16,,6.2,,11.64,,,39,,,,,,,4.32,0.31,,,,0.66,4.21,,,,,,,,,,,,,4.49,,,,,,,,,9.03,,,,,8.25,,,,,,,,,,,,,,,,,,,,,1978.5.25.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,佐伯郡湯来町大字和田,132,17,6,34,29,27,,不明,温泉・鉱泉,,,26.4,23.6,108,,9.1,,18.4,,,105,,,,,,,23.3,0.23,,,,0.42,2.07,,,,,,,,,,,,,9.14,,,,,,,,,6.58,,,,,17.5,1.29,,,,,,,,,,,,,,,,,,,,1978.7.13.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,佐伯郡佐伯町栗栖,132,6,43,34,22,56,,不明,温泉・鉱泉,,,24,28,1440,,8.1,,51.98,,,145,,,,,,,39.5,0.39,,,,0.08,7.51,,,,,,,,,,,,,9.57,,,,,,,,,4.42,,,,,43.5,,,,,,,,,,,,,,,,,,,,,1978.7.14.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,呉市内神町17-4,132,34,21,34,15,26,,不明,温泉・鉱泉,,,30,19,115,,6.5,,10.85,,,291,,,,,,,10.6,6.85,,,,9.06,38.8,,,,,,,,,,,,,41.1,,,,,,,,,25,,,,,95.9,,,,,,,,,,,,,,,,,,,,,1978.7.19.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,豊田郡本郷町大字南方,132,57,12,34,23,26,,不明,温泉・鉱泉,,,32.6,17.8,28.8,,6.3,,17.55,,,77,,,,,,,6.91,0.37,,,,0.59,4.41,,,,,,,,,,,,,10.3,,,,,,,,,11.3,,,,,3.86,,,,,,,,,,,,,,,,,,,,,1978.7.20.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,広島市山根町1212,132,28,57,34,24,21,,不明,温泉・鉱泉,,,30,18.5,34.6,,6.3,,21.12,,,84,,,,,,,6.38,0.74,,,,1.19,7.15,,,,,,,,,,,,,8.45,,,,,,,,,10.6,,,,,18.1,,,,,,,,,,,,,,,,,,,,,1978.7.24.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,甲奴郡甲奴町,133,4,41,34,42,10,,不明,温泉・鉱泉,,,30,19,25.9,,8,,12.6,,,198,,,,,,,60.2,3.35,,,,0.73,7.37,,,,,,,,,,,,,23.4,,,,,,,,,12.1,,,,,104,3.25,,,,,,,,,,,,,,,,,,,,1978.7.25.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
広島県,山県郡戸河内町字宮里山,132,12,54,34,35,46,,不明,温泉・鉱泉,,,21.6,15.2,8.6,,7.6,,13.97,,,69,,,,,,,6.85,0.35,,,,1.06,6.45,,,,,,,,,,,,,10.9,,,,,,,,,2.98,,,,,10.1,,,,,,,,,,,,,,,,,,,,,1978.9.20.,"昭和５３年度鉱泉調査結果について,広島衛研業務年報,1979"
